"Data","Último","Abertura","Máxima","Mínima","Var%"
"31.12.2019","4,0195","4,0201","4,0201","4,0195","0,00%"
"30.12.2019","4,0195","4,0484","4,0484","4,0084","-0,65%"
"27.12.2019","4,0460","4,0568","4,0614","4,0339","-0,25%"
"26.12.2019","4,0560","4,0827","4,0827","4,0453","-0,68%"
"25.12.2019","4,0838","4,0838","4,0838","4,0838","0,00%"
"24.12.2019","4,0838","4,0838","4,0838","4,0838","0,01%"
"23.12.2019","4,0835","4,1015","4,1015","4,0571","-0,46%"
"20.12.2019","4,1025","4,0706","4,1025","4,0576","0,81%"
"19.12.2019","4,0697","4,0633","4,0703","4,0503","0,16%"
"18.12.2019","4,0634","4,0687","4,0764","4,0463","-0,21%"
"17.12.2019","4,0719","4,0630","4,0780","4,0503","0,21%"
"16.12.2019","4,0632","4,1095","4,1095","4,0544","-1,10%"
"13.12.2019","4,1082","4,0912","4,1178","4,0751","0,43%"
"12.12.2019","4,0908","4,1241","4,1311","4,0813","-0,81%"
"11.12.2019","4,1242","4,1466","4,1470","4,1067","-0,55%"
"10.12.2019","4,1470","4,1429","4,1513","4,1323","0,11%"
"09.12.2019","4,1425","4,1417","4,1608","4,1230","0,03%"
"06.12.2019","4,1414","4,1859","4,1947","4,1330","-1,07%"
"05.12.2019","4,1860","4,2080","4,2236","4,1764","-0,52%"
"04.12.2019","4,2080","4,2055","4,2104","4,1818","0,03%"
"03.12.2019","4,2066","4,2237","4,2245","4,1840","-0,40%"
"02.12.2019","4,2234","4,2365","4,2536","4,2070","-0,31%"
"29.11.2019","4,2367","4,1895","4,2457","4,1823","1,11%"
"28.11.2019","4,1902","4,2642","4,2659","4,1901","-1,73%"
"27.11.2019","4,2638","4,2294","4,2710","4,2264","0,72%"
"26.11.2019","4,2332","4,2271","4,2773","4,2271","0,15%"
"25.11.2019","4,2268","4,1989","4,2312","4,1868","0,72%"
"22.11.2019","4,1966","4,1943","4,2011","4,1719","0,08%"
"21.11.2019","4,1932","4,1951","4,2241","4,1821","-0,08%"
"20.11.2019","4,1965","4,1942","4,1980","4,1942","0,05%"
"19.11.2019","4,1945","4,2055","4,2194","4,1851","-0,56%"
"18.11.2019","4,2180","4,1780","4,2196","4,1692","0,52%"
"15.11.2019","4,1962","4,1962","4,1962","4,1962","0,03%"
"14.11.2019","4,1951","4,1700","4,1989","4,1616","0,59%"
"13.11.2019","4,1704","4,1695","4,1901","4,1626","0,06%"
"12.11.2019","4,1677","4,1531","4,1878","4,1421","0,38%"
"11.11.2019","4,1518","4,1666","4,1712","4,1352","-0,28%"
"08.11.2019","4,1635","4,1143","4,1707","4,1079","1,53%"
"07.11.2019","4,1007","4,0833","4,1035","4,0413","0,42%"
"06.11.2019","4,0836","3,9937","4,0903","3,9747","2,25%"
"05.11.2019","3,9937","4,0125","4,0239","3,9827","-0,55%"
"04.11.2019","4,0156","3,9886","4,0198","3,9743","0,63%"
"01.11.2019","3,9903","4,0179","4,0207","3,9691","-0,70%"
"31.10.2019","4,0184","3,9932","4,0383","3,9638","0,69%"
"30.10.2019","3,9909","4,0000","4,0332","3,9823","-0,19%"
"29.10.2019","3,9986","3,9915","4,0052","3,9834","0,19%"
"28.10.2019","3,9910","4,0027","4,0098","3,9726","-0,32%"
"25.10.2019","4,0038","4,0427","4,0427","3,9913","-0,93%"
"24.10.2019","4,0415","4,0380","4,0465","3,9994","0,17%"
"23.10.2019","4,0346","4,0812","4,0930","4,0274","-1,16%"
"22.10.2019","4,0819","4,1291","4,1312","4,0598","-1,15%"
"21.10.2019","4,1293","4,1114","4,1524","4,1114","0,43%"
"18.10.2019","4,1117","4,1646","4,1666","4,1098","-1,26%"
"17.10.2019","4,1643","4,1520","4,1818","4,1269","0,30%"
"16.10.2019","4,1518","4,1802","4,1879","4,1475","-0,69%"
"15.10.2019","4,1807","4,1261","4,1814","4,1209","1,31%"
"14.10.2019","4,1265","4,1073","4,1383","4,1073","0,41%"
"11.10.2019","4,1097","4,1071","4,1261","4,0803","0,00%"
"10.10.2019","4,1095","4,1101","4,1377","4,0891","-0,02%"
"09.10.2019","4,1104","4,0965","4,1120","4,0705","0,37%"
"08.10.2019","4,0954","4,1074","4,1137","4,0739","-0,28%"
"07.10.2019","4,1071","4,0563","4,1095","4,0560","1,27%"
"04.10.2019","4,0556","4,0845","4,0856","4,0496","-0,70%"
"03.10.2019","4,0841","4,1296","4,1306","4,0743","-1,09%"
"02.10.2019","4,1293","4,1580","4,1821","4,1270","-0,71%"
"01.10.2019","4,1590","4,1575","4,1863","4,1524","0,08%"
"30.09.2019","4,1556","4,1618","4,1720","4,1411","-0,11%"
"27.09.2019","4,1602","4,1706","4,1712","4,1437","-0,26%"
"26.09.2019","4,1711","4,1475","4,1733","4,1208","0,53%"
"25.09.2019","4,1490","4,1649","4,1955","4,1448","-0,38%"
"24.09.2019","4,1650","4,1643","4,1842","4,1531","0,03%"
"23.09.2019","4,1638","4,1495","4,1849","4,1447","0,38%"
"20.09.2019","4,1480","4,1678","4,1841","4,1460","-0,48%"
"19.09.2019","4,1678","4,1109","4,1688","4,1076","1,38%"
"18.09.2019","4,1112","4,0779","4,1147","4,0726","0,82%"
"17.09.2019","4,0777","4,0944","4,1170","4,0708","-0,08%"
"16.09.2019","4,0810","4,0854","4,1070","4,0745","-0,10%"
"13.09.2019","4,0849","4,0615","4,0959","4,0429","0,59%"
"12.09.2019","4,0608","4,0682","4,0712","4,0266","-0,18%"
"11.09.2019","4,0680","4,0814","4,0928","4,0507","-0,31%"
"10.09.2019","4,0808","4,0963","4,1302","4,0793","-0,35%"
"09.09.2019","4,0953","4,0639","4,1050","4,0480","0,82%"
"06.09.2019","4,0618","4,1094","4,1094","4,0531","-1,16%"
"05.09.2019","4,1094","4,0960","4,1159","4,0704","0,35%"
"04.09.2019","4,0950","4,1674","4,1677","4,0888","-1,75%"
"03.09.2019","4,1681","4,1860","4,1860","4,1497","-0,45%"
"02.09.2019","4,1871","4,1444","4,1901","4,1414","1,01%"
"30.08.2019","4,1453","4,1699","4,1715","4,1197","-0,56%"
"29.08.2019","4,1688","4,1692","4,1776","4,1414","0,01%"
"28.08.2019","4,1682","4,1265","4,1690","4,1265","0,90%"
"27.08.2019","4,1311","4,1579","4,1954","4,1212","-0,63%"
"26.08.2019","4,1571","4,1193","4,1691","4,1022","0,91%"
